Year,Athlete
1912,42
1916,0
1920,39
1924,46
1928,47
1932,55
1936,64
1940,0
1944,0
1948,62
1952,64
1956,74
1960,90
1964,110
1968,114
1972,116
1976,111
1980,103
1984,139
1988,128
1992,132
1996,142
2000,142
2004,153
2008,138
2012,146
2016,145

