,Team_x,Athlete,Year
1307,GBR,June Croft,1980
1307,GBR,Susan Cooper,1980
1308,AUS,Rosemary Brown,1980
1308,AUS,Karen Van De Graaf,1980
1308,AUS,Michelle Pearson,1980
1308,AUS,Lisa Gaye Curry-Kenny,1980
1309,MEX,Teresa Rivera,1980
1309,MEX,Dagmar Erdman,1980
1309,MEX,Hellen Plaschinski,1980
1309,MEX,Isabel Reuss,1980
1310,BGR,Ani Kostova,1980
1310,BGR,Rumiana Dobreva,1980
1310,BGR,Dobrinka Mincheva,1980
1310,BGR,Sonia Dangalakova,1980
1311,ESP,Margarita Armengol,1980
1311,ESP,Laura Flaque,1980
1311,ESP,Natalia Mas,1980
1311,ESP,Gloria Casado,1980
1312,GER,Ute Geweniger,1980
1312,GER,Andrea Pollack,1980
1312,GER,Rica Reinisch,1980
1312,GER,Sarina Hülsenbeck,1980
1312,GER,Caren Metschuck,1980
1313,GBR,June Croft,1980
1313,GBR,Margaret Kelly-Hohmann,1980
1313,GBR,Ann Osgerby,1980
1313,GBR,Helen Jameson,1980
1314,SUN,Natalia Strunnikova,1980
1314,SUN,Elvira Vasilkova,1980
1314,SUN,Alla Grishchenkova,1980
1314,SUN,Irina Aksenova,1980
1314,SUN,Olga Klevakina,1980
1315,SWE,Carina Ljungdahl,1980
1315,SWE,Ann-Sofi Roos,1980
1315,SWE,Armi Airaksinen,1980
1315,SWE,Tina Gustafsson,1980
1315,SWE,Agneta Märtensson,1980
1315,SWE,Annika Uvehall,1980
1315,SWE,Eva-Marie Hakansson,1980
1316,ITA,Monica Vallarin,1980
1316,ITA,Laura Foralosso,1980
1316,ITA,Sabrina Seminatore,1980
1316,ITA,Cinzia Savi Scarponi,1980
1317,AUS,Lisa Gaye Curry-Kenny,1980
1317,AUS,Rosemary Brown,1980
1317,AUS,Karen Van De Graaf,1980
1317,AUS,Lisa Forrest,1980
1318,ROU,Mariana Paraschiv,1980
1318,ROU,Carmen Bunaciu,1980
1318,ROU,Irinel Adela Panulescu,1980
1318,ROU,Brigitte Prass,1980
1319,BGR,Dobrinka Mincheva,1980
1319,BGR,Ani Moneva,1980
1319,BGR,Tania Bogomilova-Dangalakova,1980
1319,BGR,Sonia Dangalakova,1980
1319,BGR,Ani Kostova,1980
1320,AUS,Michelle Ford,1980
1321,GDR,Ines Diers,1980
1322,GDR,Heike Dähne,1980
1323,URS,Irina Aksenova,1980
1324,URS,Oksana Komissarova,1980
1325,BEL,Pascale Verbauwen,1980
1326,GDR,Ines Geissler,1980
1327,URS,Elena Ivanova,1980
1328,GDR,Ulrike Richter,1976
1329,GDR,Birgit Treiber,1976
1330,CAN,Nancy Ellen Garapick,1976
1331,CAN,Wendy Cook-Hogg,1976
1332,CAN,Cheryl Gibson,1976
1333,URS,Nadezhda Stavko,1976
1334,GDR,Antje Stille,1976
1335,NED,Diane Edelijn,1976
1336,GDR,Hannelore Anke,1976
1337,URS,Lyubov Rusanova,1976
1338,URS,Marina Koshevaya,1976
1339,GDR,Carola Nitschke,1976
1340,FRG,Gabriele Askamp,1976
1341,URS,Maryna Yurchenia,1976
1342,GBR,Margaret Kelly-Hohmann,1976
1343,GDR,Karla Linke,1976
1344,GDR,Kornelia Ender,1976
1345,GDR,Andrea Pollack,1976
1346,USA,Wendy Lansbach Boglioli,1976
1347,USA,Camille Wright,1976
1348,GDR,Rosemarie Kother-Gabriel,1976
1349,CAN,Wendy Quirk,1976
1350,USA,Lelei Alofa Fonoimoana,1976
1351,URS,Tamara Shelofastova,1976
1352,GDR,Kornelia Ender,1976
1353,GDR,Petra Priemer,1976
1354,NED,Enith Brigitha,1976
1355,USA,Kim Marie Peyton,1976
1356,USA,Shirley Farber Babashoff,1976
1357,GDR,Claudia Hempel,1976
1358,USA,Jill Sterkel,1976
1359,FRG,Judith (Jutta) Weber,1976
1360,GDR,Ulrike Richter,1976
1361,GDR,Birgit Treiber,1976
1362,CAN,Nancy Ellen Garapick,1976
1363,URS,Nadezhda Stavko,1976
1364,USA,Melissa Louise Belote,1976
1365,GDR,Antje Stille,1976
1366,URS,Klavdiya Studennikova,1976
1367,CAN,Wendy Cook-Hogg,1976
1368,URS,Marina Koshevaya,1976
1369,URS,Maryna Yurchenia,1976
1370,URS,Lyubov Rusanova,1976
1371,GDR,Hannelore Anke,1976
1372,GDR,Karla Linke,1976
1373,GDR,Carola Nitschke,1976
1374,GBR,Margaret Kelly-Hohmann,1976
1375,GBR,Deborah Rudd,1976
1376,GDR,Andrea Pollack,1976
1377,GDR,Ulrike Tauber,1976
1378,GDR,Rosemarie Kother-Gabriel,1976
1379,USA,Karen Patricia Moe-Thornton,1976
1380,CAN,Wendy Quirk,1976
1381,CAN,Cheryl Gibson,1976
1382,URS,Tamara Shelofastova,1976
1383,URS,Natalya Popova,1976
1384,GDR,Kornelia Ender,1976
1385,USA,Shirley Farber Babashoff,1976
1386,NED,Enith Brigitha,1976
1387,NED,Annelies Maas,1976
1388,CAN,Gail Amundrud,1976
1389,USA,Jennifer Leigh Hooker,1976
1390,GDR,Claudia Hempel,1976
1391,URS,Irina Vlasova,1976
1392,GDR,Petra Thümer,1976
1393,USA,Shirley Farber Babashoff,1976
1394,CAN,Shannon Smith,1976
1395,NZL,Rebecca Perrott,1976
1396,USA,Kathy Heddy,1976
1397,USA,Brenda Grace Borgh,1976
1398,NED,Annelies Maas,1976
1399,GDR,Sabine Kahle,1976
1400,GDR,Ulrike Tauber,1976
1401,CAN,Cheryl Gibson,1976
1402,CAN,Becky Smith,1976
1403,GDR,Birgit Treiber,1976
1404,GDR,Sabine Kahle,1976
1405,USA,Donna Lee Wennerstrom,1976
1406,CAN,Joann Baker,1976
1407,NZL,Monique Rodahl,1976
1408,USA,Shirley Farber Babashoff,1976
1408,USA,Kim Marie Peyton,1976
1408,USA,Jennifer Leigh Hooker,1976
1408,USA,Wendy Lansbach Boglioli,1976
1408,USA,Jill Sterkel,1976
1409,GER,Andrea Pollack,1976
1409,GER,Petra Priemer,1976
1409,GER,Kornelia Ender,1976
1409,GER,Claudia Hempel,1976
1410,CAN,Gail Amundrud,1976
1410,CAN,Deborah Clarke,1976
1410,CAN,Barbara Lynny Clark,1976
1410,CAN,Anne Elizabeth Jardin,1976
1411,NLD,Annelies Maas,1976
1411,NLD,Berber Kamstra,1976
1411,NLD,Linda Faber,1976
1411,NLD,Enith Brigitha,1976
1411,NLD,Catharina (Ineke) Ran,1976
1412,SUN,Larisa Tsareva,1976
1412,SUN,Irina Vlasova,1976
1412,SUN,Marina Klyuchnikova,1976
1412,SUN,Lyubov Kobzeva,1976
1413,FRA,Chantal Schertz,1976
1413,FRA,Caroline Carpentier,1976
1413,FRA,Guylaine Berger,1976
1414,SWE,Gunilla Lundberg,1976
1414,SWE,Ylva Persson,1976
1414,SWE,Diana Olsson,1976
1414,SWE,Carina Ljungdahl,1976
1414,SWE,Ida Hansson,1976
1414,SWE,Pia Martensson,1976
1415,GER,Gudrun Beckmann,1976
1415,GER,Regina Nissen,1976
1415,GER,Beate Jasch,1976
1415,GER,Judith (Jutta) Weber,1976
1415,GER,Marion Platten,1976
1416,GER,Birgit Treiber,1976
1416,GER,Hannelore Anke,1976
1416,GER,Rosemarie Kother-Gabriel,1976
1416,GER,Ulrike Richter,1976
1416,GER,Petra Priemer,1976
1416,GER,Andrea Pollack,1976
1416,GER,Carola Nitschke,1976
1416,GER,Kornelia Ender,1976
1417,USA,Linda Louise Jezek,1976
1417,USA,Lelei Alofa Fonoimoana,1976
1417,USA,Wendy Lansbach Boglioli,1976
1417,USA,Camille Wright,1976
1417,USA,Shirley Farber Babashoff,1976
1417,USA,Laura Gail Siering,1976
1418,CAN,Deborah Clarke,1976
1418,CAN,Wendy Cook-Hogg,1976
1418,CAN,Susan Estelle Smith-Sloan,1976
1418,CAN,Anne Elizabeth Jardin,1976
1418,CAN,Robin Marie Corsiglia,1976
1419,SUN,Larisa Tsareva,1976
1419,SUN,Tamara Shelofastova,1976
1419,SUN,Nadezhda Stavko,1976
1420,NLD,Josefine (Jose) Damen,1976
1420,NLD,Wijda Mazereeuw,1976
1420,NLD,Diane Edelijn,1976
1420,NLD,Catharina (Ineke) Ran,1976
1420,NLD,Enith Brigitha,1976
1421,GBR,Deborah Hill,1976
1421,GBR,Elaine Dorothy Gray,1976
1421,GBR,Margaret Kelly-Hohmann,1976
1421,GBR,Joy Beasley,1976
1421,GBR,Joanne Louise Atkinson,1976
1421,GBR,Susan Pamela Jenner,1976
1422,JPN,Kazuyo Inaba,1976
1422,JPN,Toshiko Haruoka,1976
1422,JPN,Yoshimi Nishigawa,1976
1422,JPN,Yasue Hatsuda,1976
1422,JPN,Sachiko Yamazaki,1976
1423,AUS,Allison Smith,1976
1423,AUS,Judith Hudson,1976
1423,AUS,Glenda Robertson,1976
1423,AUS,Linda Hanel,1976
1423,AUS,Lyle Smith,1976
1423,AUS,Jenny Tate,1976
1423,AUS,Michelle Devries,1976
1424,GDR,Petra Thümer,1976
1425,USA,Shirley Farber Babashoff,1976
1426,USA,Wendy Elizabeth Weinberg,1976
1427,AUS,Rosemary Milgate,1976
1428,USA,Nicole Kramer,1976
1429,CAN,Shannon Smith,1976
1430,GDR,Regina Jäger,1976
1431,AUS,Jenny Turrall,1976
1432,USA,Melissa Louise Belote,1972
1433,HUN,Andrea Gyarmati,1972
1434,USA,Susanne Jean Atwood,1972
1435,USA,Karen Patricia Moe-Thornton,1972
1436,CAN,Wendy Cook-Hogg,1972
1437,NED,Enith Brigitha,1972
1438,GDR,Christine Herbst,1972
1439,FRG,Silke Pielen,1972
1440,USA,Catherine L. Carr,1972
1441,URS,Halyna Prozumenshchykova-Stepanova,1972
1442,AUS,Beverley Joy Whitfield,1972
1443,HUN,Agnes Kaczander-Kiss,1972
1444,USA,Judith Ellen Melick,1972
1445,FRG,Verena (Vreni) Eberle,1972
1446,SWE,Britt-Marie Smedh,1972
1447,GBR,Dorothy Elizabeth Harrison,1972
1448,JPN,Mayumi Aoki,1972
1449,GDR,Roswitha Beier,1972
1450,HUN,Andrea Gyarmati,1972
1451,USA,Deena Diana Deardruff,1972
1452,USA,Dana Jayne Shrader,1972
1453,USA,Eleanor Suzanne Daniel,1972
1454,FRG,Gudrun Beckmann,1972
1455,JPN,Noriko Asano,1972
1456,USA,Alexandra Lynn Neilson,1972
1457,USA,Shirley Farber Babashoff,1972
1458,AUS,Shane Gould,1972
1459,GDR,Gabriele Wetzko,1972
1460,FRG,Heidemarie Reineck,1972
1461,GDR,Andrea Eife,1972
1462,HUN,Magdolna Patoh,1972
1463,NED,Enith Brigitha,1972
1464,USA,Melissa Louise Belote,1972
1465,USA,Susanne Jean Atwood,1972
1466,CAN,Donna Marie Gurr,1972
1467,FRG,Annegret Kober,1972
1468,GDR,Christine Herbst,1972
1469,NED,Enith Brigitha,1972
1470,AUS,Deborah Palmer,1972
1471,CAN,Leslie Cliff,1972
1472,AUS,Beverley Joy Whitfield,1972
1473,USA,Dana Lee Schoenfield,1972
1474,URS,Halyna Prozumenshchykova-Stepanova,1972
1475,USA,Claudia Jean Clevenger,1972
1476,FRG,Petra Nows,1972
1477,HUN,Agnes Kaczander-Kiss,1972
1478,URS,Lyudmila Porubaiko,1972
1479,HUN,Eva Kiss,1972
1480,USA,Karen Patricia Moe-Thornton,1972
1481,USA,Lynn Ann Colella,1972
1482,USA,Eleanor Suzanne Daniel,1972
1483,GDR,Rosemarie Kother-Gabriel,1972
1484,JPN,Noriko Asano,1972
1485,GDR,Helga Lindner,1972
1486,AUS,Gail Neall,1972
1487,JPN,Mayumi Aoki,1972
1488,AUS,Shane Gould,1972
1489,USA,Shirley Farber Babashoff,1972
1490,USA,Keena Ruth Rothhammer,1972
1491,USA,Barbara Ann Marshall,1972
1492,GDR,Andrea Eife,1972
1493,NED,Johanna (Hansje) Bunschoten,1972
1494,NED,Cotharina (Anke) Rijnders,1972
1495,GDR,Karin Tülling,1972
1496,AUS,Shane Gould,1972
1497,GDR,Kornelia Ender,1972
1498,USA,Lynn Marie Vidali,1972
1499,USA,Jennifer Ann Bartz,1972
1500,CAN,Leslie Cliff,1972
1501,GDR,Evelyn Stolze,1972
1502,JPN,Yoshimi Nishigawa,1972
1503,USA,Carolyn Ann Woods,1972
1504,AUS,Shane Gould,1972
1505,ITA,Novella Calligaris,1972
1506,GDR,Gudrun Wegner,1972
1507,USA,Shirley Farber Babashoff,1972
1508,USA,Jenny Wylie,1972
1509,USA,Keena Ruth Rothhammer,1972
1510,NED,Johanna (Hansje) Bunschoten,1972
1511,NED,Cotharina (Anke) Rijnders,1972
1512,AUS,Gail Neall,1972
1513,CAN,Leslie Cliff,1972
1514,ITA,Novella Calligaris,1972
1515,USA,Jennifer Ann Bartz,1972
1516,GDR,Evelyn Stolze,1972
1517,USA,Mary Coulter Montgomery,1972
1518,USA,Lynn Marie Vidali,1972
1519,URS,Nina Petrova,1972
1520,USA,Barbara Ann Marshall,1972
1520,USA,Kim Marie Peyton,1972
1520,USA,Lynn Ellen Skrifvars,1972
1520,USA,Shirley Farber Babashoff,1972
1520,USA,Jennifer Jo Kemp,1972
1520,USA,Alexandra Lynn Neilson,1972
1520,USA,Jane Louise Barkman,1972
1521,GER,Sylvia Eichner,1972
1521,GER,Andrea Eife,1972
1521,GER,Elke Sehmisch,1972
1521,GER,Kornelia Ender,1972
1521,GER,Gabriele Wetzko,1972
1522,GER,Gudrun Beckmann,1972
1522,GER,Angela Steinbach,1972
1522,GER,Heidemarie Reineck,1972
1522,GER,Judith (Jutta) Weber,1972
1523,HUN,Andrea Gyarmati,1972
1523,HUN,Magdolna Patoh,1972
1523,HUN,Edit Kovacs,1972
1524,NLD,Cotharina (Anke) Rijnders,1972
1524,NLD,Enith Brigitha,1972
1524,NLD,Johanna (Hansje) Bunschoten,1972
1524,NLD,Josephine (Jozien) Elzerman,1972
1525,SWE,Diana Olsson,1972
1525,SWE,Eva Andersson,1972
1525,SWE,Anita Zarnowiecki,1972
1525,SWE,Irwi Johansson,1972
1526,CAN,Wendy Cook-Hogg,1972
1526,CAN,Mary Beth Rondeau,1972
1526,CAN,Leslie Cliff,1972
1527,AUS,Shane Gould,1972
1527,AUS,Debra Cain,1972
1527,AUS,Sharon Booth,1972
1527,AUS,Deborah Palmer,1972
1527,AUS,Leanne Francis,1972
1528,USA,Dana Jayne Shrader,1972
1528,USA,Susanne Jean Atwood,1972
1528,USA,Jennifer Jo Kemp,1972
1528,USA,Judith Ellen Melick,1972
1528,USA,Melissa Louise Belote,1972
1528,USA,Deena Diana Deardruff,1972
1528,USA,Alexandra Lynn Neilson,1972
1528,USA,Catherine L. Carr,1972
1528,USA,Shirley Farber Babashoff,1972
1529,GER,Gabriele Wetzko,1972
1529,GER,Rosemarie Kother-Gabriel,1972
1529,GER,Brigitte Schuchardt,1972
1529,GER,Kornelia Ender,1972
1529,GER,Roswitha Beier,1972
1529,GER,Christine Herbst,1972
1529,GER,Renate Vogel,1972
1530,GER,Dagmar Sierck,1972
1530,GER,Gudrun Beckmann,1972
1530,GER,Edeltraud Koch,1972
1530,GER,Annegret Kober,1972
1530,GER,Silke Pielen,1972
1530,GER,Heidemarie Reineck,1972
1530,GER,Judith (Jutta) Weber,1972
1530,GER,Verena (Vreni) Eberle,1972
1530,GER,Heike Hustede-Nagel,1972
1531,SUN,Nina Petrova,1972
1531,SUN,Tatyana Zolotnitskaya,1972
1532,NLD,Enith Brigitha,1972
1532,NLD,Marianne Vermaat,1972
1532,NLD,Cotharina (Anke) Rijnders,1972
1532,NLD,Friederike (Frieke) Buys,1972
1532,NLD,Alice (Alie) Te Riet,1972
1532,NLD,Johanna (Hansje) Bunschoten,1972
1533,JPN,Suzuko Matsumura,1972
1533,JPN,Yuko Yamamoto,1972
1533,JPN,Kikuyo Ishii,1972
1533,JPN,Yoshimi Nishigawa,1972
1533,JPN,Shigeko Kawanishi,1972
1533,JPN,Mayumi Aoki,1972
1534,CAN,Donna Marie Gurr,1972
1534,CAN,Sylvia Dockerill-Dodd,1972
1534,CAN,Mary Beth Rondeau,1972
1534,CAN,Wendy Cook-Hogg,1972
1534,CAN,Leslie Cliff,1972
1534,CAN,Marian Stuart-Johnson,1972
1535,SWE,Jeanette Pettersson,1972
1535,SWE,Diana Olsson,1972
1535,SWE,Anita Zarnowiecki,1972
1535,SWE,Britt-Marie Smedh,1972
1535,SWE,Eva Wikner,1972
1536,USA,Keena Ruth Rothhammer,1972
1537,AUS,Shane Gould,1972
1538,ITA,Novella Calligaris,1972
1539,USA,Ann Simmons,1972
1540,GDR,Gudrun Wegner,1972
1541,USA,Jo Ann Harshbarger,1972
1542,NED,Johanna (Hansje) Bunschoten,1972
1543,AUS,Narelle Moras,1972
1544,USA,Kaye Marie Hall,1968
1545,CAN,Elaine Tanner,1968
1546,USA,Jane Ellen Swagerty,1968
1547,USA,Kendis Marion Moore,1968
1548,HUN,Andrea Gyarmati,1968
1549,AUS,Lynette Watson,1968
1550,FRA,Sylvie Canet-Le Noach,1968
1551,NZL,Glenda Joy Stirling,1968
1552,YUG,Djurdjica Bjedov,1968
1553,URS,Halyna Prozumenshchykova-Stepanova,1968
1554,USA,Sharon Lynn Wichman,1968
1555,FRG,Uta Frommater,1968
1556,USA,Catherine Ball,1968
1557,JPN,Kiyoe Nakagawa,1968
1558,URS,Svetlana Babanina,1968
1559,URU,Ana-Maria Norbis,1968
1560,AUS,Lynette Mcclements,1968
1561,USA,Eleanor Suzanne Daniel,1968
1562,USA,Susanne Marie Shields,1968
1563,NED,Aagje Ada Kok,1968
1564,HUN,Andrea Gyarmati,1968
1565,FRG,Heike Hustede-Nagel,1968
1566,USA,Antonia (Toni) Hewitt,1968
1567,GDR,Helga Lindner,1968
1568,USA,Jane Margo Henne,1968
1569,USA,Susan Jane Pedersen,1968
1570,USA,Linda Lee Gustavson,1968
1571,CAN,Marion Beverly Lay,1968
1572,GDR,Martina Grunert,1968
1573,GBR,Alexandra Elizabeth Jackson,1968
1574,YUG,Mirjana Šegrt,1968
1575,HUN,Judit Turóczy,1968
1576,USA,Lillian Debra Watson,1968
1577,CAN,Elaine Tanner,1968
1578,USA,Kaye Marie Hall,1968
1579,AUS,Lynette Watson,1968
1580,GBR,Wendy Burrell,1968
1581,YUG,Zdenka Gasparac,1968
1582,ESP,Maria Paz Corominas Guerin,1968
1583,FRA,Benedicte Duprez,1968
1584,USA,Sharon Lynn Wichman,1968
1585,YUG,Djurdjica Bjedov,1968
1586,URS,Halyna Prozumenshchykova-Stepanova,1968
1587,URS,Alla Grebennikova,1968
1588,USA,Catherine Jamison,1968
1589,URS,Svetlana Babanina,1968
1590,JPN,Chieno Shibata,1968
1591,URU,Ana-Maria Norbis,1968
1592,NED,Aagje Ada Kok,1968
1593,GDR,Helga Lindner,1968
1594,USA,Eleanor Suzanne Daniel,1968
1595,USA,Antonia (Toni) Hewitt,1968
1596,FRG,Heike Hustede-Nagel,1968
1597,USA,Diane Jean Giebel,1968
1598,GBR,Margaret M. Auton,1968
1599,JPN,Yasuko Fujii,1968
1600,USA,Debbie Meyer,1968
1601,USA,Jane Margo Henne,1968
1602,USA,Jane Louise Barkman,1968
1603,GDR,Gabriele Wetzko,1968
1604,YUG,Mirjana Šegrt,1968
1605,FRA,Claude Mandonnaud,1968
1606,AUS,Lynette Bell,1968
1607,TCH,Oľga Kozičová,1968
1608,USA,Claudia Anne Kolb,1968
1609,USA,Susan Jane Pedersen,1968
1610,USA,Jane Margo Henne,1968
1611,GDR,Sabine Steinbach,1968
1612,JPN,Yoshimi Nishigawa,1968
1613,GDR,Marianne Seydel,1968
1614,URS,Larisa Zakharova,1968
1615,GBR,Shelagh Hudson Ratcliffe,1968
1616,USA,Debbie Meyer,1968
1617,USA,Linda Lee Gustavson,1968
1618,AUS,Karen Lynne Moras,1968
1619,USA,Pamela Jean Kruse,1968
1620,GDR,Gabriele Wetzko,1968
1621,MEX,Maria Teresa Ramirez,1968
1622,CAN,Angela Coughlaw,1968
1623,SWE,Elisabeth Ljunggren-Morris,1968
1624,USA,Claudia Anne Kolb,1968
1625,USA,Lynn Marie Vidali,1968
1626,GDR,Sabine Steinbach,1968
1627,USA,Susan Jane Pedersen,1968
1628,GBR,Shelagh Hudson Ratcliffe,1968
1629,GDR,Marianne Seydel,1968
1630,NZL,Kathleen Tui Shipston,1968
1631,MEX,Laura Vaca,1968
1632,USA,Linda Lee Gustavson,1968
1632,USA,Jane Margo Henne,1968
1632,USA,Jane Louise Barkman,1968
1632,USA,Susan Jane Pedersen,1968
1633,GER,Roswitha Krause,1968
1633,GER,Martina Grunert,1968
1633,GER,Gabriele Wetzko,1968
1633,GER,Uta Schmuck,1968
1633,GER,Gabriele Perthes,1968
1634,CAN,Angela Coughlaw,1968
1634,CAN,Marion Beverly Lay,1968
1634,CAN,Elaine Tanner,1968
1635,AUS,Janet Steinbeck,1968
1635,AUS,Julie Mcdonald,1968
1635,AUS,Lynette Bell,1968
1635,AUS,Susan Eddy,1968
1635,AUS,Lynette Watson,1968
1636,HUN,Magdolna Patoh,1968
1636,HUN,Edit Kovacs,1968
1636,HUN,Andrea Gyarmati,1968
1637,JPN,Yoshimi Nishigawa,1968
1637,JPN,Shigeko Kawanishi,1968
1637,JPN,Miwako Kobayashi,1968
1637,JPN,Yasuko Fujii,1968
1637,JPN,Yumiko Ono,1968
1638,GBR,Shelagh Hudson Ratcliffe,1968
1638,GBR,Alexandra Elizabeth Jackson,1968
1638,GBR,Fiona J. Kellock,1968
1638,GBR,Susan Elizabeth Williams,1968
1639,FRA,Marie Josephe Kersaudy,1968
1639,FRA,Daniele Dorleans,1968
1639,FRA,Simone Hanner,1968
1639,FRA,Claude Mandonnaud,1968
1640,USA,Susan Jane Pedersen,1968
1640,USA,Eleanor Suzanne Daniel,1968
1640,USA,Jane Ellen Swagerty,1968
1640,USA,Susanne Jean Jones,1968
1640,USA,Catherine Ball,1968
1640,USA,Jane Margo Henne,1968
1640,USA,Kaye Marie Hall,1968
1640,USA,Susanne Marie Shields,1968
1641,AUS,Lynette Watson,1968
1641,AUS,Janet Steinbeck,1968
1641,AUS,Judith Playfair,1968
1641,AUS,Lynette Bell,1968
1641,AUS,Lynette Mcclements,1968
1642,GER,Heike Hustede-Nagel,1968
1642,GER,Angelika Kraus,1968
1642,GER,Heidemarie Reineck,1968
1642,GER,Uta Frommater,1968
1643,SUN,Alla Grebennikova,1968
1643,SUN,Larisa Zakharova,1968
1644,GER,Helga Lindner,1968
1644,GER,Martina Grunert,1968
1644,GER,Uta Schmuck,1968
1644,GER,Eva Wittke,1968
1645,GBR,Alexandra Elizabeth Jackson,1968
1645,GBR,Margaret M. Auton,1968
1645,GBR,Wendy Burrell,1968
1645,GBR,Dorothy Elizabeth Harrison,1968
1646,NLD,Jacobje (Cobie) J. Buter,1968
1646,NLD,Petronella (Nelly) Bos,1968
1646,NLD,Aagje Ada Kok,1968
1646,NLD,Clena Geertje Bimolt,1968
1647,HUN,Maria Balla-Lantos,1968
1647,HUN,Andrea Gyarmati,1968
1647,HUN,Edit Kovacs,1968
1648,USA,Debbie Meyer,1968
1649,USA,Pamela Jean Kruse,1968
1650,MEX,Maria Teresa Ramirez,1968
1651,AUS,Karen Lynne Moras,1968
1652,USA,Patricia Caretto,1968
1653,CAN,Angela Coughlaw,1968
1654,AUS,Denise Langford,1968
1655,MEX,Laura Vaca,1968
1656,USA,Cathy Ferguson,1964
1657,FRA,Christine (Kiki) Caron,1964
1658,USA,Virginia Ruth Duenkel,1964
1659,JPN,Satoko Tanaka,1964
1660,USA,Nina Adams Harmer,1964
1661,GBR,Linda Kay Ludgrove,1964
1662,CAN,Eileen Weir,1964
1663,GBR,Jill Rosemary Norfolk,1964
1664,USA,Sharon Marie Stouder,1964
1665,NED,Aagje Ada Kok,1964
1666,USA,Kathy Ellis,1964
1667,FIN,Eila Marjatta Pyrhonen,1964
1668,USA,Donna Elizabeth De Varona,1964
1669,GER,Heike Hustede-Nagel,1964
1670,JPN,Eiko Takahashi,1964
1671,CAN,Mary Pauline Stewart,1964
1672,AUS,Dawn Fraser,1964
1673,USA,Sharon Marie Stouder,1964
1674,USA,Kathy Ellis,1964
1675,NED,Erica Georgine Terpstra,1964
1676,CAN,Marion Beverly Lay,1964
1677,HUN,Csilla Madarasz-Bajnogel-Dobai,1964
1678,SWE,Ann-Christine Hagberg,1964
1679,AUS,Lynette Bell,1964
1680,URS,Halyna Prozumenshchykova-Stepanova,1964
1681,USA,Claudia Anne Kolb,1964
1682,URS,Svetlana Babanina,1964
1683,GBR,Stella Marian M. Mitchell,1964
1684,GBR,Jill Slattery,1964
1685,GER,Bärbel Grimmer,1964
1686,NED,Clena Geertje Bimolt,1964
1687,GER,Ursula Küper,1964
1688,USA,Virginia Ruth Duenkel,1964
1689,USA,Marilyn Ramenofsky,1964
1690,USA,Therese Lee Stickles,1964
1691,AUS,Dawn Fraser,1964
1692,CAN,Jane Marion Hughes-Rogers,1964
1693,GBR,Elizabeth Carole Long,1964
1694,AUS,Kim Herford,1964
1695,SWE,Ann-Charlotte Lilja,1964
1696,USA,Donna Elizabeth De Varona,1964
1697,USA,Sharon Evans Finneran,1964
1698,USA,Martha Irene Randall,1964
1699,GER,Veronika Holletz,1964
1700,AUS,Linda Carol Mcgill,1964
1701,NED,Elisabeth Anna Heukels,1964
1702,GBR,Anita Lonsbrough,1964
1703,HUN,Marta Egervary,1964
1704,USA,Patience Halsey Sherman,1964
1704,USA,Donna Elizabeth De Varona,1964
1704,USA,Erica Eloise Bricker,1964
1704,USA,Jeanne Courtney Hallock,1964
1704,USA,Lynn Marie Allsup,1964
1704,USA,Lillian Debra Watson,1964
1704,USA,Kathy Ellis,1964
1704,USA,Sharon Marie Stouder,1964
1705,AUS,Dawn Fraser,1964
1705,AUS,Robyn Thorn,1964
1705,AUS,Lynette Bell,1964
1705,AUS,Janice Murphy,1964
1705,AUS,Jan Turner,1964
1706,NLD,Paulina Van Der Wildt,1964
1706,NLD,Wilhelmina Van Weerdenburg,1964
1706,NLD,Erica Georgine Terpstra,1964
1706,NLD,Catharina Johanna Beumer,1964
1707,HUN,Maria Frank,1964
1707,HUN,Eva Erdelyi,1964
1707,HUN,Katalin Takacs,1964
1707,HUN,Csilla Madarasz-Bajnogel-Dobai,1964
1708,SWE,Lotten Andersson,1964
1708,SWE,Ulla Jafvert,1964
1708,SWE,Ann-Charlotte Lilja,1964
1708,SWE,Ann-Christine Hagberg,1964
1709,GER,Rita Schumacher,1964
1709,GER,Martina Grunert,1964
1709,GER,Heidi Pechstein,1964
1709,GER,Gertrude (Trudi) Beierlein,1964
1710,CAN,Patricia E. Thompson,1964
1710,CAN,Helen Louise Kennedy,1964
1710,CAN,Marion Beverly Lay,1964
1710,CAN,Mary Pauline Stewart,1964
1711,ITA,Daniela Beneck,1964
1711,ITA,Mara Sacchi,1964
1711,ITA,Paola Saini,1964
1711,ITA,Maria Cristina Pacifici,1964
1712,USA,Sharon Marie Stouder,1964
1712,USA,Cynthia Lee Goyette,1964
1712,USA,Judith Anne Reeder,1964
1712,USA,Cathy Ferguson,1964
1712,USA,Nina Adams Harmer,1964
1712,USA,Susanne Kay Pitt,1964
1712,USA,Lillian Debra Watson,1964
1712,USA,Kathy Ellis,1964
1713,NLD,Aartje Elisabeth Lasterie,1964
1713,NLD,Clena Geertje Bimolt,1964
1713,NLD,Aagje Ada Kok,1964
1713,NLD,Erica Georgine Terpstra,1964
1713,NLD,Kornelia Winkel,1964
1714,SUN,Natalya Bystrova,1964
1714,SUN,Svetlana Babanina,1964
1714,SUN,Natalya Ustinova,1964
1714,SUN,Tatyana Savelyeva,1964
1715,JPN,Satoko Tanaka,1964
1715,JPN,Noriko Yamamoto,1964
